data|cod_cliente|es_centro|tipo_material|origem|cod_produto|lote|dias_em_estoque|produto|grupo_mercadoria|es_totalestoque|SKU
2025-08-04|10179|32D1|Materia Prima|E_PRG_REF     |BFF|GRH162|224|Bobina|Laminado a Frio|8.84|SKU_1
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GRD462/4|221|Rolo|Laminado a Frio|1.372|SKU_2
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFQD|GSZ011/12|3|Rolo|Laminado a Quente|0.724|SKU_3
2025-08-04|10179|32D1|Materia Prima|E_PRG_REF     |BFQD|GSZ588|5|Bobina|Laminado a Quente|12.91|SKU_4
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GSP836/4|37|Rolo|Laminado a Frio|0.892|SKU_5
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GSK215/8|74|Rolo|Zincado|0.913|SKU_6
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GSZ525/3|2|Rolo|Zincado|0.996|SKU_7
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GRC052/2|241|Rolo|Laminado a Frio|1.184|SKU_8
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GSV381/4|5|Rolo|Zincado|0.712|SKU_9
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GSV381/3|5|Rolo|Zincado|0.608|SKU_9
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GRU739/6|140|Rolo|Zincado|0.985|SKU_10
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GRC052/1|241|Rolo|Laminado a Frio|1.188|SKU_8
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GSU857/2|9|Rolo|Laminado a Frio|0.925|SKU_11
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GRD687/5|207|Rolo|Zincado|1.219|SKU_12
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFQD|GSZ011/9|3|Rolo|Laminado a Quente|0.726|SKU_3
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GRU739/1|140|Rolo|Zincado|1.295|SKU_13
2025-08-04|10179|32D1|Materia Prima|E_PRG_REF     |BZN|GRZ361|139|Bobina|Zincado|11.34|SKU_14
2025-08-04|10179|32D1|Materia Prima|E_PRG_REF     |BZN|GSF064|110|Bobina|Zincado|11.3|SKU_14
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GQP601/7|279|Rolo|Zincado|1.07|SKU_15
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GRD461/4|221|Rolo|Laminado a Frio|1.405|SKU_2
2025-08-04|10179|1101|Materia Prima|E_PRG_REF|BFQD|GSV391|17|Bobina|Laminado a Quente|12.885|SKU_4
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GRD688/5|206|Rolo|Zincado|1.253|SKU_12
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GOP768/6|313|Rolo|Laminado a Frio|1.251|SKU_2
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GOP768/6|313|Rolo|Laminado a Frio|1.251|SKU_2
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GRC052/6|241|Rolo|Laminado a Frio|1.13|SKU_8
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFQD|GSZ011/8|3|Rolo|Laminado a Quente|0.689|SKU_3
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GRO596/15|122|Rolo|Zincado|0.406|SKU_13
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GSU857/3|9|Rolo|Laminado a Frio|0.933|SKU_11
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GSV380/2|6|Rolo|Zincado|0.654|SKU_9
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFE|GQX957/3|202|Rolo|Laminado a Frio|1.204|SKU_16
2025-08-04|10179|32D1|Materia Prima|E_PRG_REF     |BZN|GRX190|145|Bobina|Zincado|5.46|SKU_14
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GQD869/4|333|Rolo|Laminado a Frio|1.177|SKU_2
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GQD869/4|333|Rolo|Laminado a Frio|1.177|SKU_2
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFQD|GSL342/1|4|Rolo|Laminado a Quente|1.682|SKU_17
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFQD|GSV624/7|6|Rolo|Laminado a Quente|1.076|SKU_18
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GPT030/10|279|Rolo|Laminado a Frio|0.908|SKU_19
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GQQ739/15|245|Rolo|Zincado|0.458|SKU_20
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFQD|GSZ011/7|3|Rolo|Laminado a Quente|0.7|SKU_3
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GSQ989/1|17|Rolo|Laminado a Frio|1.156|SKU_21
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFE|GQM593/1|266|Rolo|Laminado a Frio|1.152|SKU_22
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFQD|GLF893/15|495|Rolo|Laminado a Quente|1.37|SKU_23
2025-08-04|10179|32D1|Materia Prima|E_PRG_REF     |BFE|GPS746|384|Bobina|Laminado a Frio|6.568|SKU_24
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFQD|GSV624/4|6|Rolo|Laminado a Quente|1.088|SKU_18
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GSV136/3|10|Rolo|Zincado|1.113|SKU_25
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GSU858/3|5|Rolo|Laminado a Frio|0.954|SKU_11
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GSK215/6|74|Rolo|Zincado|0.895|SKU_6
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GQB308/6|335|Rolo|Laminado a Frio|1.346|SKU_2
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GQB308/6|335|Rolo|Laminado a Frio|1.346|SKU_2
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GSZ525/9|2|Rolo|Zincado|1.064|SKU_7
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GNE559/11|7|Rolo|Zincado|0.805|SKU_9
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GSK204/3|17|Rolo|Zincado|1.292|SKU_26
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GRH945/5|152|Rolo|Laminado a Frio|1.243|SKU_27
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GSV382/3|5|Rolo|Zincado|0.983|SKU_9
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFQD|GSV623/5|5|Rolo|Laminado a Quente|1.449|SKU_3
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GRC512/13|209|Rolo|Zincado|1.254|SKU_12
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GSZ527/3|3|Rolo|Zincado|0.938|SKU_28
2025-08-04|10179|32D1|Materia Prima|E_PRG_REF     |BFE|GSD641|118|Bobina|Laminado a Frio|5.964|SKU_24
2025-08-04|10179|32D1|Materia Prima|E_PRG_REF     |BFE|GSE022|116|Bobina|Laminado a Frio|7.904|SKU_29
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GSZ525/7|2|Rolo|Zincado|1.158|SKU_25
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GRM453/6|4|Rolo|Laminado a Frio|1.009|SKU_30
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GRG605/3|146|Rolo|Laminado a Frio|1.274|SKU_31
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GRM453/1|4|Rolo|Laminado a Frio|0.972|SKU_30
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GRG404/4|152|Rolo|Laminado a Frio|1.264|SKU_32
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GSV380/6|6|Rolo|Zincado|0.799|SKU_9
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GRC512/7|207|Rolo|Zincado|0.272|SKU_20
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GRM453/3|4|Rolo|Laminado a Frio|0.965|SKU_30
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GSX459/5|2|Rolo|Zincado|1.092|SKU_25
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GQQ745/4|280|Rolo|Zincado|1.268|SKU_15
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GSV381/1|5|Rolo|Zincado|0.707|SKU_9
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFQD|GSZ011/13|3|Rolo|Laminado a Quente|0.704|SKU_3
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GRG779/8|213|Rolo|Zincado|1.249|SKU_33
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GRD688/2|206|Rolo|Zincado|1.236|SKU_12
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFQD|GSV623/4|5|Rolo|Laminado a Quente|1.343|SKU_3
2025-08-04|10179|32D1|Materia Prima|E_PRG_REF     |BZN|GRX755|143|Bobina|Zincado|4.46|SKU_14
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GSU155/6|2|Rolo|Zincado|1.577|SKU_34
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GRG404/3|152|Rolo|Laminado a Frio|1.254|SKU_32
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFQD|GNN162/7|608|Rolo|Laminado a Quente|0.805|SKU_23
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GSQ989/6|17|Rolo|Laminado a Frio|1.101|SKU_21
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GLJ959/1|948|Rolo|Zincado|0.65|SKU_35
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFQD|GSV624/8|6|Rolo|Laminado a Quente|1.079|SKU_18
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GSP836/5|37|Rolo|Laminado a Frio|0.9|SKU_5
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GSQ358/16|41|Rolo|Zincado|0.561|SKU_36
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GSX459/3|2|Rolo|Zincado|1.115|SKU_25
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GRJ948/7|5|Rolo|Laminado a Frio|1.056|SKU_37
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GSV136/10|10|Rolo|Zincado|1.106|SKU_25
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GSV136/11|10|Rolo|Zincado|1.148|SKU_38
2025-08-04|10179|32D1|Materia Prima|E_PRG_REF     |BZN|GRZ325|139|Bobina|Zincado|11.035|SKU_39
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFQD|GNN162/6|608|Rolo|Laminado a Quente|0.817|SKU_23
2025-08-04|10179|32D1|Materia Prima|E_PRG_REF     |BZN|GRU426|157|Bobina|Zincado|11.28|SKU_14
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GRJ948/6|5|Rolo|Laminado a Frio|1.068|SKU_37
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GSU155/9|2|Rolo|Zincado|1.594|SKU_40
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFQD|GSK213/9|13|Rolo|Laminado a Quente|1.153|SKU_41
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GSK204/4|17|Rolo|Zincado|1.337|SKU_26
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFQD|GSZ011/1|3|Rolo|Laminado a Quente|0.724|SKU_3
2025-08-04|10179|32D1|Materia Prima|E_PRG_REF     |BFF|GRH503|221|Bobina|Laminado a Frio|8.28|SKU_1
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GQQ739/17|245|Rolo|Zincado|0.454|SKU_20
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GRM453/4|4|Rolo|Laminado a Frio|1.014|SKU_30
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFF|GRJ948/5|5|Rolo|Laminado a Frio|1.064|SKU_37
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GSX459/6|2|Rolo|Zincado|1.151|SKU_38
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RZN|GSZ527/5|3|Rolo|Zincado|1.567|SKU_35
2025-08-04|10179|1101|Produto Acabado|S_PRG_REF|RFQD|GSJ038/8|70|Rolo|Laminado a Quente|1.33|SKU_3
