data|cod_cliente|lote|origem|zs_gr_mercad|produto|cod_produto|zs_centro|zs_cidade|zs_uf|zs_peso_liquido|giro_sku_cliente|SKU
2024-01-10|366|GNS454/3|PRG|ZINCADO|Chapa|CZN|22D1|CURITIBA|PR|1.356|17.981186468498084|SKU_97
2024-01-10|366|GNS598/6|PRG|ZINCADO|Chapa|CZN|22D1|CURITIBA|PR|1.503|22.425087812304472|SKU_102
2024-01-10|366|GNR884/9|PRG|ZINCADO|Chapa|CZN|22D1|CURITIBA|PR|0.826|32.45971522578162|SKU_100
2024-01-10|366|GNR884/8|PRG|ZINCADO|Chapa|CZN|22D1|CURITIBA|PR|1.467|32.45971522578162|SKU_100
2024-01-10|4967|GOC425/1|PRG|LAMINADO A QUENTE|Chapa|CG|1101|POMPEIA|SP|2.186|28.06094014965363|SKU_143
2024-01-10|4967|GNN070/4|PRG|LAMINADO A QUENTE|Chapa|CGD|1101|POMPEIA|SP|1.11|174.53445376186085|SKU_128
2024-01-10|4967|GOC425/4|PRG|LAMINADO A QUENTE|Chapa|CG|1101|POMPEIA|SP|2.212|28.06094014965363|SKU_143
2024-01-10|4967|GOC425/3|PRG|LAMINADO A QUENTE|Chapa|CG|1101|POMPEIA|SP|2.214|28.06094014965363|SKU_143
2024-01-10|4967|GNN073/6|PRG|LAMINADO A QUENTE|Chapa|CGD|1101|POMPEIA|SP|2.006|174.53445376186085|SKU_128
2024-01-10|4967|GNN073/4|PRG|LAMINADO A QUENTE|Chapa|CGD|1101|POMPEIA|SP|2.026|174.53445376186085|SKU_128
2024-01-10|4967|GNQ758/2|PRG|LAMINADO A QUENTE|Chapa|CGD|1101|POMPEIA|SP|1.86|160.5116448535184|SKU_136
2024-01-10|4967|GNC763/14|PRG|LAMINADO A QUENTE|Rolo|RFQD|1101|POMPEIA|SP|1.232|185.14992686723258|SKU_118
2024-01-10|4967|GNK047/11|PRG|LAMINADO A QUENTE|Chapa|CG|1101|POMPEIA|SP|2.157|39.868819921479776|SKU_123
2024-01-10|4967|GNP515/9|PRG|LAMINADO A QUENTE|Chapa|CGD|1101|POMPEIA|SP|2.334|160.5116448535184|SKU_136
2024-01-10|4967|GNM625/3|PRG|LAMINADO A QUENTE|Chapa|CGD|1101|POMPEIA|SP|2.216|174.53445376186085|SKU_128
2024-01-10|4967|GNN070/3|PRG|LAMINADO A QUENTE|Chapa|CGD|1101|POMPEIA|SP|2.206|174.53445376186085|SKU_128
2024-01-10|4967|GNN073/5|PRG|LAMINADO A QUENTE|Chapa|CGD|1101|POMPEIA|SP|1.84|174.53445376186085|SKU_128
2024-01-10|4967|GNK047/12|PRG|LAMINADO A QUENTE|Chapa|CG|1101|POMPEIA|SP|2.157|39.868819921479776|SKU_123
2024-01-10|4967|GOC425/6|PRG|LAMINADO A QUENTE|Chapa|CG|1101|POMPEIA|SP|1.226|28.06094014965363|SKU_143
2024-01-10|4967|GNP515/8|PRG|LAMINADO A QUENTE|Chapa|CGD|1101|POMPEIA|SP|2.336|160.5116448535184|SKU_136
2024-01-10|4967|GNC763/9|PRG|LAMINADO A QUENTE|Rolo|RFQD|1101|POMPEIA|SP|1.276|185.14992686723258|SKU_118
2024-01-10|4967|GNC761/9|PRG|LAMINADO A QUENTE|Chapa|CFQD|1101|POMPEIA|SP|2.37|55.78151868947416|SKU_133
2024-01-10|4967|GNC763/13|PRG|LAMINADO A QUENTE|Rolo|RFQD|1101|POMPEIA|SP|1.23|185.14992686723258|SKU_118
2024-01-10|4967|GNQ758/1|PRG|LAMINADO A QUENTE|Chapa|CGD|1101|POMPEIA|SP|2.314|160.5116448535184|SKU_136
